episode,reward,penalty,net_reward,steps,success,response_time_s,rescued,route_efficiency,hard_violations,wasted_actions,blocked_attempts,failed_actions,mean_risk,disaster,policy_loss,value_loss,entropy,entropy_coef,total_loss
1,-113.5,0.0,-113.5,100,False,,0,,0,26,0,26,0.0827,road_blockage,,,,,
2,-190.61,0.0,-190.61,100,False,,0,,0,25,0,25,0.4862,flood,,,,,
3,-230.76,0.0,-230.76,100,False,,0,,0,23,0,23,0.6287,flood,,,,,
4,-223.19,0.0,-223.19,100,False,,0,,0,22,0,22,0.6765,earthquake,,,,,
5,-215.44,0.0,-215.44,100,False,,0,,0,27,0,27,0.5705,wildfire,,,,,
6,-108.31,0.0,-108.31,100,False,,0,,0,21,0,21,0.0113,traffic_jam,,,,,
7,-147.87,0.0,-147.87,100,False,,0,,0,25,0,25,0.2415,wildfire,,,,,
8,-138.05,0.0,-138.05,100,False,,0,,0,22,0,22,0.2666,earthquake,-0.004902126028069428,0.8859206846782139,1.9968017305646624,0.02,0.3981221846171788
9,-1159.02,0.0,-1159.02,100,False,,0,,61,27,0,27,0.643,cyclone,,,,,
10,-263.42,0.0,-263.42,100,False,,0,,0,24,0,24,0.8258,cyclone,,,,,
11,-120.16,0.0,-120.16,100,False,,0,,0,24,0,24,0.0,traffic_jam,,,,,
12,-68.89,0.0,-68.89,79,True,158.0,55,2.385,0,16,0,16,0.7473,wildfire,,,,,
13,-256.64,0.0,-256.64,100,False,,0,,0,21,0,21,0.8027,tsunami,,,,,
14,-87.43,0.0,-87.43,100,False,,0,,0,19,0,19,0.0,traffic_jam,,,,,
15,-165.7,0.0,-165.7,100,False,,0,,0,22,0,22,0.2703,tsunami,,,,,
16,-220.15,0.0,-220.15,100,False,,0,,0,16,0,16,0.5963,cyclone,-0.004428914375603199,0.9144323791776384,1.9769533055169242,0.02,0.4132482085909162
17,-1345.9,0.0,-1345.9,100,False,,0,,69,21,0,21,1.0,cyclone,,,,,
18,-181.77,0.0,-181.77,100,False,,0,,0,15,0,15,0.5122,wildfire,,,,,
19,-98.95,0.0,-98.95,100,False,,0,,0,17,0,17,0.026,heavy_rain,,,,,
20,-174.48,0.0,-174.48,100,False,,0,,0,21,0,21,0.3791,tsunami,,,,,
21,46.43,0.0,46.43,37,True,74.0,58,2.444,0,6,0,6,0.4935,wildfire,,,,,
22,-159.11,0.0,-159.11,100,False,,0,,5,18,0,18,0.0491,landslide,,,,,
23,-201.38,0.0,-201.38,100,False,,0,,0,21,0,21,0.4974,wildfire,,,,,
24,-275.54,0.0,-275.54,100,False,,0,,0,14,0,14,0.9154,tsunami,-0.0018500904513833424,0.7351228654384613,2.0068641185760496,0.02,0.32557405680418017
25,-693.57,0.0,-693.57,100,False,,0,,31,21,0,21,0.6933,wildfire,,,,,
26,-268.22,0.0,-268.22,100,False,,0,,8,22,0,22,0.2741,tsunami,,,,,
27,-121.31,0.0,-121.31,100,False,,0,,0,9,0,9,0.186,flood,,,,,
28,-123.84,0.0,-123.84,100,False,,0,,0,27,0,27,0.1971,heavy_rain,,,,,
29,-75.13,0.0,-75.13,100,False,,0,,0,15,0,15,0.0482,road_blockage,,,,,
30,-109.23,0.0,-109.23,100,False,,0,,0,20,0,20,0.0,traffic_jam,,,,,
31,-153.49,0.0,-153.49,100,False,,0,,0,16,0,16,0.4471,wildfire,,,,,
32,-148.75,0.0,-148.75,100,False,,0,,0,17,0,17,0.3142,heavy_rain,-0.01060390429837363,0.5754272443907601,1.9872318301882064,0.02,0.23736508446080343
33,31.93,0.0,31.93,93,True,186.0,60,2.765,0,12,0,12,0.0,heavy_rain,,,,,
34,-78.17,0.0,-78.17,100,False,,0,,0,16,0,16,0.0,heavy_rain,,,,,
35,66.2,0.0,66.2,42,True,84.0,26,0.967,0,0,0,0,0.0933,landslide,,,,,
36,-94.1,0.0,-94.1,100,False,,0,,0,12,0,12,0.0138,traffic_jam,,,,,
37,-114.67,0.0,-114.67,100,False,,0,,0,20,0,20,0.1361,flood,,,,,
38,-1212.66,0.0,-1212.66,100,False,,0,,65,14,0,14,0.794,tsunami,,,,,
39,-139.28,0.0,-139.28,100,False,,0,,0,15,0,15,0.3141,heavy_rain,,,,,
40,-181.99,0.0,-181.99,44,True,88.0,35,2.417,13,6,0,6,0.5453,flood,-0.0049192008542983485,0.5836341162522634,1.962918492158254,0.02,0.24763948793212573
41,-728.42,0.0,-728.42,100,False,,0,,31,11,0,11,0.8843,cyclone,,,,,
42,-91.22,0.0,-91.22,100,False,,0,,0,7,0,7,0.0,traffic_jam,,,,,
43,-637.91,0.0,-637.91,100,False,,0,,28,18,0,18,0.6289,tsunami,,,,,
44,-101.76,0.0,-101.76,100,False,,0,,0,13,0,13,0.002,traffic_jam,,,,,
45,-1575.53,0.0,-1575.53,100,False,,0,,89,6,0,6,0.9033,tsunami,,,,,
