episode,reward,steps,success,response_time_s,rescued,route_efficiency,hard_violations,wasted_actions,blocked_attempts,failed_actions,mean_risk,disaster,mean_loss,epsilon,gradient_steps
1,-99.36,100,False,,0,,0,27,0,27,0.0,road_blockage,,,0
2,-235.82,100,False,,0,,0,27,0,27,0.6457,flood,,,0
3,-228.31,100,False,,0,,0,21,0,21,0.6275,flood,,,0
4,-177.37,100,False,,0,,0,13,0,13,0.4907,earthquake,,,0
5,-275.88,100,False,,0,,0,33,0,33,0.7966,wildfire,35.642,0.9683,1
6,-126.78,100,False,,0,,0,36,0,36,0.0,traffic_jam,36.7077,0.962,25
7,-146.74,100,False,,0,,0,22,0,22,0.2497,wildfire,19.7791,0.9557,25
8,-145.08,100,False,,0,,0,22,0,22,0.3022,earthquake,9.9123,0.9493,25
9,17.09,21,True,42.0,73,1.375,4,4,0,4,0.4591,cyclone,11.7818,0.9481,5
10,-249.6,100,False,,0,,0,23,0,23,0.7762,cyclone,12.7525,0.9417,25
11,-112.06,100,False,,0,,0,21,0,21,0.0,traffic_jam,9.5294,0.9354,25
12,-215.8,100,False,,0,,0,21,0,21,0.6752,wildfire,12.0899,0.9291,25
13,-1406.36,100,False,,0,,76,23,0,23,0.8361,tsunami,19.1523,0.9227,25
14,-99.0,100,False,,0,,0,26,0,26,0.0,traffic_jam,29.5829,0.9164,25
15,-149.53,100,False,,0,,0,15,0,15,0.2697,tsunami,30.5893,0.9101,25
16,-48.61,61,True,122.0,60,2.462,0,9,0,9,0.8249,cyclone,27.8326,0.9063,15
17,-1248.42,100,False,,0,,62,23,0,23,0.9961,cyclone,29.4835,0.8999,25
18,-152.34,100,False,,0,,0,15,0,15,0.4046,wildfire,33.979,0.8936,25
19,-104.29,100,False,,0,,0,23,0,23,0.0719,heavy_rain,33.4155,0.8873,25
20,-174.51,100,False,,0,,0,24,0,24,0.3395,tsunami,32.7991,0.8809,25
21,-265.86,100,False,,0,,0,22,0,22,0.9016,wildfire,27.9074,0.8746,25
22,-86.74,100,False,,0,,0,21,0,21,0.0681,landslide,27.7303,0.8683,25
23,-228.01,100,False,,0,,0,29,0,29,0.5522,wildfire,24.0288,0.8619,25
24,-48.59,54,True,108.0,28,2.667,0,4,0,4,0.8729,tsunami,27.3549,0.8584,14
25,-1315.43,100,True,200.0,60,4.3,78,24,0,24,0.8515,wildfire,24.9517,0.8521,25
26,-1160.28,100,False,,0,,66,9,0,9,0.4959,tsunami,40.3349,0.8457,25
27,-1273.55,100,False,,0,,69,16,0,16,0.7192,flood,57.5274,0.8394,25
28,-72.1,100,False,,0,,0,20,0,20,0.0,heavy_rain,66.6378,0.8331,25
29,40.53,100,True,200.0,45,2.688,0,17,0,17,0.0062,road_blockage,54.8805,0.8267,25
30,-107.19,100,False,,0,,0,24,0,24,0.0,traffic_jam,51.6364,0.8204,25
31,-21.59,84,True,168.0,40,4.091,0,11,0,11,0.437,wildfire,52.5851,0.8151,21
32,-165.81,100,False,,0,,0,28,0,28,0.3396,heavy_rain,52.1703,0.8087,25
33,-91.67,100,False,,0,,0,15,0,15,0.0,heavy_rain,47.0215,0.8024,25
34,-75.41,100,False,,0,,0,14,0,14,0.0,heavy_rain,47.854,0.7961,25
35,58.0,34,True,68.0,26,0.5,0,4,0,4,0.2521,landslide,48.2482,0.794,8
36,-82.21,100,False,,0,,0,10,0,10,0.0,traffic_jam,50.3984,0.7877,25
37,-151.18,100,False,,0,,2,19,0,19,0.2134,flood,45.4546,0.7814,25
38,-957.04,100,False,,0,,49,23,0,23,0.6747,tsunami,44.3436,0.775,25
39,0.76,99,True,198.0,52,2.875,0,20,0,20,0.082,heavy_rain,53.5404,0.7687,25
40,-163.88,100,False,,0,,1,30,0,30,0.2445,flood,44.0618,0.7624,25
41,-283.19,100,False,,0,,1,25,0,25,0.8196,cyclone,45.1352,0.756,25
42,-94.21,100,False,,0,,0,14,0,14,0.0,traffic_jam,43.6659,0.7497,25
43,-515.68,100,False,,0,,20,21,0,21,0.6498,tsunami,44.189,0.7434,25
44,-94.95,100,False,,0,,0,15,0,15,0.0,traffic_jam,44.3221,0.737,25
45,-1146.88,100,False,,0,,60,11,0,11,0.8994,tsunami,45.6053,0.7307,25
46,-149.9,100,False,,0,,0,29,0,29,0.2797,tsunami,48.6413,0.7244,25
47,-1272.78,100,False,,0,,74,12,0,12,0.4225,tsunami,46.6118,0.718,25
48,-78.34,100,False,,0,,0,20,0,20,0.0,landslide,62.1549,0.7117,25
49,-822.51,100,False,,0,,41,14,0,14,0.633,earthquake,66.8809,0.7054,25
50,-117.21,100,False,,0,,0,19,0,19,0.1095,heavy_rain,65.7642,0.699,25
51,-247.35,100,False,,0,,0,21,0,21,0.7628,earthquake,61.9143,0.6927,25
52,-142.68,100,False,,0,,0,23,0,23,0.2306,heavy_rain,64.1724,0.6864,25
53,-78.14,100,False,,0,,0,15,0,15,0.0185,road_blockage,60.1286,0.68,25
54,-77.04,100,False,,0,,0,17,0,17,0.0,road_blockage,55.2083,0.6737,25
55,-79.84,100,False,,0,,0,15,0,15,0.0,road_blockage,65.256,0.6674,25
56,-140.16,100,False,,0,,1,9,0,9,0.2882,earthquake,57.7071,0.661,25
57,-76.59,100,False,,0,,0,19,0,19,0.0059,landslide,52.8737,0.6547,25
58,-67.72,100,False,,0,,0,18,0,18,0.0258,road_blockage,53.9836,0.6484,25
59,-92.4,100,False,,0,,0,21,0,21,0.0023,traffic_jam,51.5623,0.642,25
60,90.94,19,True,38.0,47,0.889,0,0,0,0,0.173,landslide,54.5796,0.6408,5
61,-268.14,100,False,,0,,0,17,0,17,0.9181,cyclone,53.9872,0.6344,25
62,37.61,79,True,158.0,53,3.7,0,6,0,6,0.14,heavy_rain,58.3725,0.6296,19
63,-468.01,100,False,,0,,18,13,0,13,0.6174,wildfire,50.2724,0.6233,25
64,-90.73,100,False,,0,,0,15,0,15,0.1674,tsunami,50.9583,0.617,25
65,-66.02,100,False,,0,,0,12,0,12,0.0,traffic_jam,52.9498,0.6106,25
